objectid,title,classification,iiifurl,is_portrait
60,Girl with the Red Hat,Painting,https://api.nga.gov/iiif/b705a403-3496-42e8-abf5-a37e34c32198,True
597,Old Woman with a Distaff,Print,https://api.nga.gov/iiif/32ad170d-47c2-444a-b3f9-48ec10188418,True
650,Poetry,Print,https://api.nga.gov/iiif/68435d8b-773b-4941-a9a7-a8163978111f,True
747,Sylvester (Douglas) Lord Glenbervie; Katherine Anne (North) Glenbervie; Frederic (North) Earl of Guilford; Frederic Sylvester Douglas,Print,https://api.nga.gov/iiif/3c5d329c-33ff-485b-b25d-3cbfbfdde010,True
860,"Old Man with Beard, Fur Cap, and Velvet Cloak",Print,https://api.nga.gov/iiif/24b9ec97-c407-452c-99cf-6db8075ef09e,True
867,Marechal de Guebriant,Print,https://api.nga.gov/iiif/44f9bec2-ae44-4edd-a0ca-f12c00e3d5d0,True
868,Louis XIV,Print,https://api.nga.gov/iiif/12e7506a-9a8a-4795-8600-11bacf22af7a,True
920,Francois Guenault,Print,https://api.nga.gov/iiif/ef918603-0891-4448-b6b1-98029481810d,True
921,Simon Dreux d'Aubray,Print,https://api.nga.gov/iiif/b4ec31f3-fd6c-49fb-b108-2102fe2b6f57,True
922,Antoine Barillon,Print,https://api.nga.gov/iiif/6b3f0d14-1671-46bd-8fb0-bf389e852391,True
928,Giacomo Antonio Mannini,Print,https://api.nga.gov/iiif/e4a75cbe-5c01-427c-b897-edf1ac3201ea,True
929,Self-Portrait,Print,https://api.nga.gov/iiif/cb885496-f90c-4856-aa96-45638b8363db,True
930,Tommaso Salini,Print,https://api.nga.gov/iiif/10688b0f-bcfa-45a9-bbbc-d8288b9079a5,True
931,Giovanni Baglione,Print,https://api.nga.gov/iiif/6b4bfdc3-01b7-41ff-9775-c425df60e588,True
932,"Giovanni Francesco Barbieri, called Guercino",Print,https://api.nga.gov/iiif/5a2059fb-ca7b-4779-b86b-a3d9c803d5ca,True
933,Gian Lorenzo Bernini,Print,https://api.nga.gov/iiif/ec52be8b-6ac0-488e-a351-5c8313b35e1f,True
934,Paolo Giordano Orsini II,Print,https://api.nga.gov/iiif/39d4f504-fea1-4c22-9985-cc479fdd4c6e,True
935,Giuseppe Cesari,Print,https://api.nga.gov/iiif/c02da758-8945-4f72-be3c-8145795004a0,True
936,"Giovanni Ciampoli, Papal Secretary",Print,https://api.nga.gov/iiif/052ff0ca-cf75-4b65-b1e3-e74894f6d4da,True
937,Galileo Galilei,Print,https://api.nga.gov/iiif/6429d5b2-cf4f-4150-932d-824230994c70,True
938,Giovanni Marino,Print,https://api.nga.gov/iiif/8ddd82a9-081e-42a3-bb45-9a92f2ac8f67,True
939,Raffaelo Menicucci,Print,https://api.nga.gov/iiif/a33297d1-3ac3-4d47-b784-326b60931d88,True
940,Pier Francesco Pauli,Print,https://api.nga.gov/iiif/441e6d2b-3ac8-49a5-8c03-fb67256c0ed5,True
941,Marcello Provenzale,Print,https://api.nga.gov/iiif/5156de08-be43-40a8-aa86-c49b28c92862,True
942,Paolus Qualiatus Clodianus,Print,https://api.nga.gov/iiif/80818eb6-bd9a-40ef-85f7-d928d66719e4,True
943,Cristoforo Roncalli,Print,https://api.nga.gov/iiif/8fcc2065-9e7b-4ade-b492-e0ad2cc9e79d,True
944,Thomas Stilianus,Print,https://api.nga.gov/iiif/94f8aa2d-dcfb-462d-a072-4ed140e4a8e3,True
945,Simon Vouet,Print,https://api.nga.gov/iiif/19e3f679-5159-494c-955a-98d083f6c8f5,True
1034,Buste de Bellone,Print,https://api.nga.gov/iiif/1b83a0dd-ba59-431b-bccd-10f57ec7c693,True
1035,"Victor Hugo, De Trois Quarts",Print,https://api.nga.gov/iiif/f2978e74-778e-4699-89df-461493727797,True
1040,Joseph Conrad,Print,https://api.nga.gov/iiif/82997bba-03e0-4869-996f-6378b4054d16,True
1044,Rev. Dr. James,Print,https://api.nga.gov/iiif/bcb5120d-1674-4ad1-8029-a2852c6fd4d0,True
1051,Leonard Gow,Print,https://api.nga.gov/iiif/9cd06bac-9bec-4aac-8893-e05265dfcac3,True
1052,Rabindranath Tagore,Print,https://api.nga.gov/iiif/3811b8f2-90ed-48be-adc5-799f9183c933,True
1065,Kneeling in an Armchair,Print,https://api.nga.gov/iiif/7ce19270-b611-414c-b585-647dfbf48f73,True
1085,George Washington,Print,https://api.nga.gov/iiif/1cc84cc4-8927-4649-a06c-a94f995e1488,True
1152,Lady and Gentleman on Horseback,Painting,https://api.nga.gov/iiif/94c41c4c-519c-4fba-bdcc-0f712376ceff,True
2176,"La Famine par l'ordre de Cérès vient répandre son venin sur Eresicthon, tandis qu'il dormoit",Print,https://api.nga.gov/iiif/0e459739-8b24-4bc4-9e2c-a0e5e84589df,True
2572,Marie-Antoinette,Print,https://api.nga.gov/iiif/4b43a9d5-177f-4ae0-8d18-5ac49d0b2dd4,True
2582,Louis XVI and Marie-Antoinette,Print,https://api.nga.gov/iiif/64057f0a-0782-4b7f-bd87-2984f71e7981,True
2619,Francois Boucher,Print,https://api.nga.gov/iiif/736cfd6b-a295-451e-b4c0-403040521fc0,True
2620,Laurent Cars,Print,https://api.nga.gov/iiif/dc944b94-3af7-40b9-8d9d-3c036f2322c8,True
2741,Mademoiselle Sa Soeur,Print,https://api.nga.gov/iiif/40331666-7043-4d70-b5de-1d10bdb49911,True
2759,Charlotte Corday,Print,https://api.nga.gov/iiif/55bde20d-d1fa-4937-8c5a-72997fbca2c2,True
2776,Tête de Flore,Print,https://api.nga.gov/iiif/ca1c60a6-adc0-4203-841f-4113421f1885,True
2785,Le Garcon cabaretier,Print,https://api.nga.gov/iiif/bddac145-16c6-41c7-aa63-0232c060871a,True
2793,Mme. XXX en Flore,Print,https://api.nga.gov/iiif/c9f1cfb5-21bb-4a39-a5ac-68daa7b71d68,True
2805,Mlle. Lavergne,Print,https://api.nga.gov/iiif/7e4e2e25-aadb-4cad-99c0-350e93643447,True
2839,Sa taille est ravissante,Print,https://api.nga.gov/iiif/d65ff454-2f8a-4504-bf35-59ca15b33dee,True
2840,Sa taille est ravissante,Print,https://api.nga.gov/iiif/032486c8-77c3-41ae-b9e2-70d2a4e68c0e,True
2858,Le léger vêtement,Print,https://api.nga.gov/iiif/903bc3fa-d91b-424c-afec-547434b0dcc9,True
2873,Le reveil,Print,https://api.nga.gov/iiif/8056f309-1804-43ef-9fa1-47dbf9c5b47c,True
2876,Mademoiselle Contat,Print,https://api.nga.gov/iiif/46f428a2-d410-4457-bd92-e709bfa32cd3,True
2877,Mademoiselle Olivier,Print,https://api.nga.gov/iiif/0ed314d5-2b5d-4f40-9cb7-5707339b6531,True
2878,Mademoiselle Maillard,Print,https://api.nga.gov/iiif/6974888d-7c9b-4222-90a9-7ee5f93ca7d3,True
2879,Mme. de M ... en habit de bal,Print,https://api.nga.gov/iiif/4c0fdcf3-ed74-403b-a5e2-789dcd110133,True
2880,Mme. de M ... en habit de bal,Print,https://api.nga.gov/iiif/a52373dc-f27f-4118-ad82-adbb7d19ffc9,True
2881,Les cerises,Print,https://api.nga.gov/iiif/d20d89c4-e135-4fa3-8535-4b5954099cb4,True
2882,Les prunes,Print,https://api.nga.gov/iiif/e8a27e8e-74a3-4b8b-b2b4-96d47197a441,True
2887,Mgr. Le duc d'Orléans,Print,https://api.nga.gov/iiif/f4062c19-9778-499f-8f03-5fd1b5e277a2,True
2903,Madame du Barry,Print,https://api.nga.gov/iiif/86e20445-d523-4cf2-9c7e-d70b8fb4e64c,True
2904,"Jeanne Bécu, Comtesse Du Barry, Being Offered a Cup of Coffee by Zamor",Print,https://api.nga.gov/iiif/4f926961-ef15-4513-a010-70acc553aaa3,True
2906,Roxelane,Print,https://api.nga.gov/iiif/0890e373-9940-462f-a06b-6b4954544dbc,True
2929,Annette a l'age de quinze ans  (Annette at the Age of Fifteen Years),Print,https://api.nga.gov/iiif/afbc4f2a-a37a-4b95-ba8f-476af164961c,True
