anchor,positive,negative
191493,60064,51696
224222,4263,161510
221943,215246,208670
138899,35716,133727
169562,202952,227718
138655,36491,126811
146564,205199,229623
144138,214605,78157
143183,64608,42148
215066,200649,59312
60168,11540,119921
9398,206144,84580
209991,51333,59891
6999,200641,63534
49426,227139,214058
60024,45673,223603
216322,212058,216405
148450,168432,55736
157348,11335,70316
60221,42153,20363
231915,215375,46205
168400,42648,50043
123630,222443,43337
171116,217214,67530
170451,151951,22384
225235,227096,66765
10388,214694,177549
10776,227110,194561
204777,214630,154133
8025,60959,57527
184650,49406,26604
198720,54447,109732
39831,177461,28525
9413,217285,1505
103557,5367,138586
156024,205736,89096
118513,168417,136035
214983,214498,150881
218257,56276,25290
205112,122202,160743
226420,194802,224521
215132,214692,165887
143764,8098,47548
35596,58273,209949
229045,215048,161674
226551,175146,57847
147229,45841,205632
60260,58694,19974
122294,175144,227081
34615,172750,92198
214574,208691,74655
55668,35448,20824
6051,158406,85051
175172,162902,200644
116239,215162,70970
64938,8019,51144
10762,10364,25258
54445,215183,40080
199302,60299,35951
37132,147952,74530
64932,209983,12012
227134,131411,175813
214450,227232,228400
215208,214974,132585
197978,126609,49255
157376,135399,50893
33930,206540,218152
215206,216312,86282
175148,154652,67466
223945,124321,133997
220701,131323,33363
50840,175197,42405
8035,204761,40113
206957,60076,10744
160942,214495,48539
214581,60098,172707
42567,215374,44584
204498,197536,198578
57701,214762,16739
155491,64867,229574
9252,60164,28983
7972,10580,227110
205129,117826,118555
9401,57662,50561
9357,154217,67371
9234,125411,1469
138591,111152,108151
209871,131768,65171
204489,205476,94915
231919,30301,18156
62289,223957,100568
227337,205509,34246
30631,183415,214662
36977,222922,152803
206995,215114,150726
55682,144882,17694
206113,153831,55999
214450,175254,225252
35706,6805,125442
32985,155501,133368
132700,205459,12002
220802,60815,196849
205487,64607,214557
175192,11282,61919
35610,9893,155499
208730,196121,28213
196859,48325,64873
39442,2979,175184
214753,204688,227769
172689,208728,13088
227127,118771,122418
227738,183564,195508
171434,180698,64988
35791,183980,56013
142251,153636,226791
122202,57970,1517
35870,928,140507
191378,197634,39641
157184,55058,44962
227324,200649,83930
223054,55154,8091
42283,208625,213766
55730,36928,221485
48306,218390,21853
227814,207001,54370
35790,229462,42421
143994,1035,121718
35153,35952,8023
224758,11410,144945
151547,169276,139740
42139,218134,15525
129998,215257,37857
57578,35534,210208
223969,143789,116758
223652,3961,162266
191397,206962,57944
214632,123682,45392
204486,4483,14614
38874,218201,175117
207780,205518,208195
131054,227342,89113
37101,168257,10754
227246,227079,197785
55147,60260,227760
197723,35315,7229
139532,35867,226564
168491,173878,143453
231719,227239,121188
213734,10199,50368
220721,9387,130158
223939,227155,15649
218257,55662,61038
168336,145442,106516
170950,116575,225336
140351,9310,7909
35852,170996,228182
102497,9439,112568
33923,232396,111835
232314,174409,227392
226214,223443,92198
131054,122294,9740
221354,206967,168854
223060,175271,19480
64843,168326,36528
173286,152207,1246
225369,215226,83061
227352,213269,118564
47539,214551,9308
227341,230904,11211
45650,168475,179511
223637,214728,61379
9259,218087,7932
216321,10501,5212
215185,216321,55371
179575,214398,150738
10032,123631,215048
75832,170375,9840
35736,224614,9332
3067,204030,227795
57096,222922,33839
174914,49702,218605
67769,64629,161107
157381,204633,159784
92690,36925,69019
215206,168391,133013
215284,214693,158515
54099,227372,172788
221243,228427,218091
217948,9457,65097
168376,54375,15092
125471,168401,166506
39255,65233,107612
196850,155482,39104
10748,213976,220821
122645,227327,44041
60290,35670,206157
205518,64753,85465
194774,9286,136392
133427,117832,232133
225350,218284,24717
169630,38834,228982
175144,227410,90945
170964,142138,89545
223861,226707,67448
35474,43477,223251
155512,215107,87971
229465,225644,103317
204772,184863,85446
215241,48295,13654
34453,229654,4308
56410,227335,163997
214974,65120,22941
210021,117752,1703
215900,214571,44007
228976,215304,43075
169275,35758,222083
208635,227275,169272
175271,219574,85527
60959,215224,227868
7404,208714,55153
55852,214145,27469
30290,33357,208441
54401,49053,1715
123390,224209,227302
148888,151529,147231
65110,214547,175379
227416,221208,217957
65233,226562,215750
33845,35852,210748
74212,172809,205463
175169,171034,56441
223928,10582,72259
206934,148252,111622
218780,121938,121618
173279,205195,212542
40075,231014,151749
75815,175163,168269
4404,42679,1782
214655,49151,24758
194477,227065,26709
168313,227046,6101
35650,60292,228427
227155,2992,195507
170470,224421,133011
215137,39654,227761
171030,5469,160927
11264,228651,146594
49695,215226,37032
214518,9158,35736
56102,9253,133128
168372,214941,41677
226724,170986,89569
34038,102580,4903
199085,180869,67772
60274,156049,165741
165308,219692,180858
197899,4467,26371
223864,214449,40244
217949,159424,176391
50218,10749,6669
125442,43423,27292
55691,204764,227152
52403,39755,222861
40179,226331,225397
200634,125433,22668
172808,35636,33101
39039,214381,46529
214503,9261,144938
227327,51467,222287
219475,222068,35155
128901,205440,44340
227379,5260,205229
7909,94976,39403
41568,60234,56936
205491,227207,172996
139469,215324,10744
217214,6104,1854
35498,226406,158406
66825,55065,47212
219569,140506,214647
54402,60267,125293
153712,10029,122161
109888,131112,71594
163008,5219,48965
223056,69088,231354
9374,134825,217570
35944,206996,1198
35740,194317,69232
219065,210034,209909
38013,225637,8114
205473,214455,33520
11644,10895,209937
39541,36977,72313
170455,10765,216344
225251,197787,17371
124323,206117,148154
223947,8022,51860
60205,156726,151760
175188,205500,195586
138799,223250,157909
6108,153685,39018
175018,3863,51391
58509,226527,36036
205109,215090,64840
33498,41957,214395
64979,184171,9297
10492,204782,228165
143680,224222,56784
39104,227941,27219
171073,136632,196309
144092,55130,66441
183449,228971,214427
216323,215021,35537
205554,8312,145679
163072,224770,150791
145228,39746,209944
223940,57435,50125
220605,205556,169534
30467,34167,89246
5394,5270,123658
204776,172800,141988
143349,9398,214713
11219,54401,125416
32641,220802,12207
56337,172750,14357
39707,214969,63769
160926,42080,14636
168285,10221,228127
206957,214439,168360
131468,55130,74425
223139,40078,17210
227291,227229,173091
149365,60156,164950
40166,205880,71515
150236,219573,147255
126509,214761,48329
136260,168314,225628
106645,168466,8800
64930,218178,132451
214502,205512,214374
144254,217108,12660
34787,161175,22773
37037,143789,43924
210192,215311,206244
153944,204678,372
175290,103081,8210
10776,220583,61496
143653,214616,162057
215134,168368,146112
41567,39539,28245
227128,45674,133867
52488,10621,85520
